id,title,link,published,summary,author
59,Mueren 22 por explosión en India,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761331,"Wed, 04 Sep 2019 12:58:25 CDT",Una explosión en una fábrica de fuegos artificiales en el norte de India mató al menos a 22 personas y provocó que el inmueble colapsara.,AP
60,Afirma Ruiz que repetirá la dosis,http://www.cancha.com/aplicaciones/articulo/default.aspx?id=1761402,"Wed, 04 Sep 2019 13:56:56 CDT",Andy Ruiz cree poder repetirle la dosis a Anthony Joshua en la revancha a realizarse el 7 diciembre en Arabia Saudita.,CANCHA / Staff
61,Multa la Disciplinaria a Caixinha,http://www.cancha.com/aplicaciones/articulo/default.aspx?id=1761401,"Wed, 04 Sep 2019 13:55:48 CDT","Pese a estar destituido de Cruz Azul, el técnico Pedro Caixinha fue multado económicamente por la Comisión Disciplinaria",CANCHA / Staff
62,Presume México dominio sobre EU,http://www.cancha.com/aplicaciones/articulo/default.aspx?id=1760823,"Wed, 04 Sep 2019 05:02:23 CDT","México y Estados Unidos se enfrentarán este viernes, rivalidad que tiene en los recientes juegos dominio Tricolor.",Félix Zapata
63,Jugará Tri amistoso ante TyT en Toluca,http://www.cancha.com/aplicaciones/articulo/default.aspx?id=1761215,"Wed, 04 Sep 2019 11:18:12 CDT",La Selección Mexicana disputará un duelo amistoso ante Trinidad y Tobago el próximo 2 de octubre en el Nemesio Diez.,CANCHA / Staff
64,Lanza Wolverhampton uniforme tricolor,http://www.cancha.com/aplicaciones/articulo/default.aspx?id=1761105,"Wed, 04 Sep 2019 09:37:36 CDT","El Wolverhampton presentó su tercer uniforme, de color verde y con detalles blancos y rojos, que lo hacen muy mexicano.",CANCHA / Staff
65,Sosa es cesado del Atlético de San Luis,http://www.cancha.com/aplicaciones/articulo/default.aspx?id=1761160,"Wed, 04 Sep 2019 10:29:08 CDT","Pese a cumplir con un torneo aceptable, Luis Sosa fue destituido como técnico del Atlético de San Luis.",CANCHA / Staff
66,Deberán ganarse lugar en Copa Oro,http://www.cancha.com/aplicaciones/articulo/default.aspx?id=1761499,"Wed, 04 Sep 2019 15:48:20 CDT",México ya no tendrá su boleto director a la Copa Oro porque la Nations League será la vía de clasificación.,Notimex
67,Celebran aniversario con lucha en jaula,http://www.cancha.com/aplicaciones/articulo/default.aspx?id=1761475,"Wed, 04 Sep 2019 15:17:53 CDT",Una lucha en jaula por las cabelleras y con siete protagonistas será la estelar en el 86 aniversario del CMLL.,Notimex
68,Investigado por pornografía infantil,http://www.cancha.com/aplicaciones/articulo/default.aspx?id=1761428,"Wed, 04 Sep 2019 14:14:10 CDT",El ex futbolista alemán Christoph Metzelder es investigado por sospechas de distribución de pornografía infantil.,Xinhua
69,Se estrena Iturria como ganador,http://www.cancha.com/aplicaciones/articulo/default.aspx?id=1761406,"Wed, 04 Sep 2019 14:02:20 CDT",Mikel Iturria logró su primera victoria al llevarse la etapa 11 de la Vuelta de España; Primoz Roglic sigue líder.,AP
70,Rinde expo homenaje a Coronel,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760818,"Wed, 04 Sep 2019 05:13:00 CDT","Rafael Coronel, pintor fallecido el 7 de mayo, recibirá homenaje en San Miguel de Allende con exhibición de 25 obras sobre la naturaleza.",Yanireth Israde
