Page,Codename,URL,"Total Interactions",Likes,Comments,Shares,"Owned Post Views","Owned Views from Shares","Owned Total Views","Percentage Views from Owned Posts","Views on Shared Posts","Views While Live","Video Time","3-Min+ Videos",Loves,Wows,Hahas,Sads,Angrys,"All Interaction Rate",Photos,Links,Statuses,"Facebook Videos","Other Videos","Total Posts","Photo Posts","Link Posts","Status Posts","Owned Video Posts","Shared Video Posts","Other Video Posts","Posts Per Day","Page Likes","Page Growth","Page Growth %"
"Periódico Zócalo",PeriodicoZocalo,http://www.facebook.com/59601464955,"3,023,168","1,075,095","238,368","766,496","13,212,056","4,819,424","18,031,480",73%,"3,669,865.00","1,834,135",10:06:02,33,"104,860","278,417","218,507","181,986","159,439",0.01%,0.00%,0.01%,0.00%,0.03%,--,53285,4872,44309,37,2573,1494,0,145.99,"595,340","53,431.00",9.86%
"W Radio",wradiomx,http://www.facebook.com/296730648408,"2,618,652","729,601","130,517","1,283,875","14,375,258","5,438,897","19,814,155",73%,"296,032.00","1,303,105",16:34:53,30,"121,534","127,684","104,942","61,238","59,261",0.03%,0.01%,0.04%,0.00%,0.03%,0.00%,15979,1440,11968,16,2252,268,35,43.78,"525,054","68,806.00",15.08%
"Cultura Colectiva Lifestyle",culturacolectivalifestyle,http://www.facebook.com/553067331536210,"2,519,449","1,000,981","155,010","882,439","38,240,513","17,155,725","55,396,238",69%,"147,048.00",0,43:44:17,680,"267,099","80,552","84,846","37,854","10,668",0.01%,0.01%,0.01%,0.00%,0.03%,--,7392,374,5730,70,1175,43,0,20.25,"3,407,092","64,746.00",1.94%
"Cultura Colectiva Historia",culturacolectivahistoria,http://www.facebook.com/765788450232703,"2,362,217","720,619","54,986","1,272,855","27,935,338","20,324,161","48,259,499",58%,"56,995.00",0,22:00:18,342,"137,823","84,694","24,845","40,942","25,453",0.10%,0.02%,0.03%,0.01%,0.37%,--,2652,112,1970,21,531,18,0,7.27,"994,022","182,467.00",22.48%
ELNORTE.COM,elnortecom,http://www.facebook.com/299966159738,"2,346,026","904,817","315,947","410,145","14,750,901","5,560,583","20,311,484",73%,"971,402.00","1,262,520",14:47:53,132,"170,119","118,139","190,818","87,774","148,267",0.05%,0.14%,0.04%,0.04%,0.07%,0.02%,4925,495,3303,19,810,146,152,13.49,"934,914","36,958.00",4.12%
VANGUARDIA,VanguardiaMx,http://www.facebook.com/17853721002,"2,181,875","714,926","210,192","567,890","4,490,585","1,323,917","5,814,502",77%,"196,864.00","661,184",12:20:37,92,"102,344","150,723","213,565","97,426","124,809",0.03%,0.01%,0.03%,0.01%,0.06%,0.00%,24271,505,22630,217,815,98,6,66.50,"286,199","31,149.00",12.21%
"Vogue México y Latinoamérica",VogueMexicoLatinoamerica,http://www.facebook.com/114634845223277,"2,072,793","990,802","89,455","520,319","3,540,720","2,335,342","5,876,062",60%,"18,347.00","22,206",02:16:23,11,"355,769","52,164","27,736","32,356","4,192",0.01%,0.03%,0.01%,0.01%,0.05%,0.00%,9374,763,8417,11,169,8,6,25.68,"2,190,062","111,945.00",5.39%
SopitasFM,SopitasFM,http://www.facebook.com/449479155092764,"2,039,434","758,749","121,481","408,485","7,029,923","2,459,181","9,489,104",74%,"22,491.00","2,601",09:37:07,58,"409,440","109,723","147,818","67,014","16,724",0.09%,0.10%,0.07%,0.04%,0.30%,--,7432,545,6558,1,310,18,0,20.36,"326,838","18,218.00",5.90%
"Sopitas Deportes",sopitasdeportes,http://www.facebook.com/329073640582794,"1,824,821","615,225","52,205","596,148","24,156,324","11,935,804","36,092,128",67%,477.00,0,01:44:15,3,"54,110","190,917","292,837","15,841","7,538",0.15%,0.03%,0.04%,0.05%,7.33%,--,8916,1856,6912,4,142,2,0,24.43,"145,880","22,185.00",17.94%
"El Imparcial de Oaxaca",imparcialoaxaca,http://www.facebook.com/258430140834731,"1,745,248","616,496","144,330","515,665","17,180,139","7,127,715","24,307,854",71%,"1,743,090.00","999,520",46:58:52,220,"145,133","87,255","96,743","50,005","89,621",0.03%,0.04%,0.02%,0.02%,0.07%,0.01%,11038,1311,7642,7,1734,341,3,30.24,"596,187","27,908.00",4.91%
